Assembly,Level,run_accession,sample_accession,sample,Taxonomy,CC,mecA Type,Penicillin MIC ug/ml + 15ug/ml Clavulanic acid,Penicillin MIC ug/ml,Amoxicillin MIC ug/ml + 15ug/ml Clavulanic acid,Amoxicillin MIC ug/ml,Number,Isolate,ENA accession,Penicillin/clavulanic acid susceptibility based on ECOFF of ≤2.0 µg/ml.,fastq_ftp,year
NA,NA,ERR737536,SAMEA2664325,MPROS1483,NA,361,NA,0.023,2,NA,NA,180,MPROS1483,ERS512336,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737536/ERR737536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737536/ERR737536_2.fastq.gz,2015
NA,NA,ERR737539,SAMEA2664333,MPROS1660,NA,80,NA,0.094,8,NA,NA,181,MPROS1660,ERS512344,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737539/ERR737539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737539/ERR737539_2.fastq.gz,2015
NA,NA,ERR737551,SAMEA2664368,MPROS1758,NA,59,NA,0.064,3,NA,NA,182,MPROS1758,ERS512379,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737551/ERR737551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737551/ERR737551_2.fastq.gz,2015
NA,NA,ERR737571,SAMEA2664484,MPROS2171,NA,72,NA,1,16,NA,NA,183,MPROS2171,ERS512495,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737571/ERR737571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737571/ERR737571_2.fastq.gz,2015
NA,NA,ERR737621,SAMEA2664524,MPROS1915,NA,30,NA,0.25,24,NA,NA,184,MPROS1915,ERS512535,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737621/ERR737621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737621/ERR737621_2.fastq.gz,2015
NA,NA,ERR737646,SAMEA2664592,MPROS2082,NA,1,NA,8,32,NA,NA,NA,MPROS2082,ERS512603,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737646/ERR737646_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737646/ERR737646_2.fastq.gz,2015
NA,NA,ERR742915,SAMEA2664665,MPROS1983,NA,59,NA,0.032,3,NA,NA,186,MPROS1983,ERS512676,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/ERR742915/ERR742915_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/ERR742915/ERR742915_2.fastq.gz,2015
NA,NA,ERR742935,SAMEA2664707,MPROS1965,NA,5,NA,0.047,12,NA,NA,187,MPROS1965,ERS512718,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/ERR742935/ERR742935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/ERR742935/ERR742935_2.fastq.gz,2015
NA,NA,ERR742963,SAMEA2664739,MPROS2109,NA,59,NA,0.016,0.064,NA,NA,188,MPROS2109,ERS512750,Penicillin Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/ERR742963/ERR742963_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/ERR742963/ERR742963_2.fastq.gz,2015
NA,NA,ERR742964,SAMEA2664740,MPROS1957,NA,1,NA,0.064,0.38,NA,NA,189,MPROS1957,ERS512751,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/ERR742964/ERR742964_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/ERR742964/ERR742964_2.fastq.gz,2015
NA,NA,ERR774758,SAMEA2664135,MPROS1297,NA,30,NA,6,32,NA,NA,190,MPROS1297,ERS512146,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR774/ERR774758/ERR774758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR774/ERR774758/ERR774758_2.fastq.gz,2015
NA,NA,ERR355935,SAMEA1572478,MPROS0385,NA,8,NA,0.047,12,NA,NA,191,MPROS0385,ERS161443,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/ERR355935/ERR355935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/ERR355935/ERR355935_2.fastq.gz,2012-2013
NA,NA,ERR204155,SAMEA1572450,MPROS0201,NA,1,NA,0.094,8,NA,NA,192,MPROS0201,ERS163100,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204155/ERR204155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204155/ERR204155_2.fastq.gz,2012-2013
NA,NA,ERR204139,SAMEA1572484,MPROS0181,NA,8,NA,0.016,1,NA,NA,193,MPROS0181,ERS158722,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204139/ERR204139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204139/ERR204139_2.fastq.gz,2012-2013
NA,NA,ERR212901,SAMEA1572517,MPROS0343,NA,5,NA,0.016,0.023,NA,NA,194,MPROS0343,ERS163242,Penicillin Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212901/ERR212901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212901/ERR212901_2.fastq.gz,2012-2013
NA,NA,ERR212895,SAMEA1572389,MPROS0337,NA,779,NA,0.032,6,NA,NA,195,MPROS0337,ERS163236,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212895/ERR212895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212895/ERR212895_2.fastq.gz,2012-2013
NA,NA,ERR204182,SAMEA1572433,MPROS0230,NA,80,NA,0.125,8,NA,NA,196,MPROS0230,ERS163127,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204182/ERR204182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204182/ERR204182_2.fastq.gz,2012-2013
NA,NA,ERR212879,SAMEA1572552,MPROS0321,NA,5,NA,0.023,2,NA,NA,197,MPROS0321,ERS163220,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212879/ERR212879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212879/ERR212879_2.fastq.gz,2012-2013
NA,NA,ERR204208,SAMEA1572314,MPROS0258,NA,5,NA,0.023,3,NA,NA,198,MPROS0258,ERS163153,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204208/ERR204208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204208/ERR204208_2.fastq.gz,2012-2013
NA,NA,ERR212780,SAMEA1572255,MPROS0043,NA,1941,NA,2,2,NA,NA,NA,MPROS0043,ERS161338,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212780/ERR212780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212780/ERR212780_2.fastq.gz,2012-2013
NA,NA,ERR355931,SAMEA1568646,MPROS0016,NA,5,NA,0.023,3,NA,NA,200,MPROS0016,ERS158636,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/ERR355931/ERR355931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/ERR355931/ERR355931_2.fastq.gz,2012-2013
NA,NA,ERR211907,SAMEA1568644,MPROS0074,NA,1,NA,0.064,3,NA,NA,201,MPROS0074,ERS158639,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/ERR211907/ERR211907_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/ERR211907/ERR211907_2.fastq.gz,2012-2013
NA,NA,ERR211938,SAMEA1568590,MPROS0126,NA,59,NA,0.047,3,NA,NA,202,MPROS0126,ERS158670,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/ERR211938/ERR211938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/ERR211938/ERR211938_2.fastq.gz,2012-2013
NA,NA,ERR211950,SAMEA1568618,MPROS0138,NA,30,NA,0.75,24,NA,NA,203,MPROS0138,ERS158682,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/ERR211950/ERR211950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/ERR211950/ERR211950_2.fastq.gz,2012-2013
NA,NA,ERR211953,SAMEA1568663,MPROS0145,NA,45,NA,0.125,8,NA,NA,204,MPROS0145,ERS158685,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/ERR211953/ERR211953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/ERR211953/ERR211953_2.fastq.gz,2012-2013
NA,NA,ERR211954,SAMEA1568655,MPROS0146,NA,1,NA,0.38,16,NA,NA,205,MPROS0146,ERS158686,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/ERR211954/ERR211954_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/ERR211954/ERR211954_2.fastq.gz,2012-2013
NA,NA,ERR211971,SAMEA1568630,MPROS0163,NA,12,NA,0.064,6,NA,NA,206,MPROS0163,ERS158703,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/ERR211971/ERR211971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/ERR211971/ERR211971_2.fastq.gz,2012-2013
NA,NA,ERR212947,SAMEA1572527,MPROS0387,NA,8,NA,0.032,3,NA,NA,207,MPROS0387,ERS161445,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212947/ERR212947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212947/ERR212947_2.fastq.gz,2012-2013
NA,NA,ERR204229,SAMEA1572272,MPROS0279,NA,80,NA,0.064,3,NA,NA,208,MPROS0279,ERS163174,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204229/ERR204229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204229/ERR204229_2.fastq.gz,2012-2013
NA,NA,ERR212783,SAMEA1572500,MPROS0046,NA,5,NA,0.047,4,NA,NA,209,MPROS0046,ERS161341,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212783/ERR212783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212783/ERR212783_2.fastq.gz,2012-2013
NA,NA,ERR212816,SAMEA1572437,MPROS0084,NA,5,NA,0.047,6,NA,NA,210,MPROS0084,ERS161412,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212816/ERR212816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212816/ERR212816_2.fastq.gz,2012-2013
NA,NA,ERR212818,SAMEA1572284,MPROS0087,NA,59,NA,0.094,4,NA,NA,NA,MPROS0087,ERS161414,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212818/ERR212818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212818/ERR212818_2.fastq.gz,2012-2013
NA,NA,ERR212847,SAMEA1572359,MPROS0293,NA,8,NA,0.023,4,NA,NA,212,MPROS0293,ERS163188,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212847/ERR212847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212847/ERR212847_2.fastq.gz,2012-2013
NA,NA,ERR204205,SAMEA1572354,MPROS0255,NA,1481,NA,16,32,NA,NA,NA,MPROS0255,ERS163150,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204205/ERR204205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204205/ERR204205_2.fastq.gz,2012-2013
NA,NA,ERR204180,SAMEA1572482,MPROS0228,NA,30,NA,0.125,16,NA,NA,214,MPROS0228,ERS163125,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204180/ERR204180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204180/ERR204180_2.fastq.gz,2012-2013
NA,NA,ERR212899,SAMEA1572481,MPROS0341,NA,1,NA,0.125,12,NA,NA,215,MPROS0341,ERS163240,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212899/ERR212899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212899/ERR212899_2.fastq.gz,2012-2013
NA,NA,ERR204179,SAMEA1572474,MPROS0227,NA,30,NA,0.125,16,NA,NA,216,MPROS0227,ERS163124,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204179/ERR204179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204179/ERR204179_2.fastq.gz,2012-2013
NA,NA,ERR212927,SAMEA1572285,MPROS0370,NA,1,NA,0.5,12,NA,NA,217,MPROS0370,ERS163268,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212927/ERR212927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212927/ERR212927_2.fastq.gz,2012-2013
NA,NA,ERR212942,SAMEA1572429,MPROS0382,NA,30,NA,16,48,NA,NA,218,MPROS0382,ERS161440,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212942/ERR212942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212942/ERR212942_2.fastq.gz,2012-2013
NA,NA,ERR355929,SAMEA1572334,MPROS0196,NA,88,NA,0.19,8,NA,NA,219,MPROS0196,ERS163095,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/ERR355929/ERR355929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/ERR355929/ERR355929_2.fastq.gz,2012-2013
NA,NA,ERR213014,SAMEA1572258,MPROS0455,NA,8,NA,0.25,8,NA,NA,220,MPROS0455,ERS161512,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/ERR213014/ERR213014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/ERR213014/ERR213014_2.fastq.gz,2012-2013
NA,NA,ERR213019,SAMEA1572358,MPROS0460,NA,1,NA,1.5,12,NA,NA,221,MPROS0460,ERS161517,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/ERR213019/ERR213019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/ERR213019/ERR213019_2.fastq.gz,2012-2013
NA,NA,ERR715053,SAMEA2041955,MPROS1020,NA,8,NA,0.38,24,NA,NA,222,MPROS1020,ERS198004,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715053/ERR715053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715053/ERR715053_2.fastq.gz,2015
NA,NA,ERR737021,SAMEA2665099,MPROS0990,NA,8,NA,0.38,24,NA,NA,223,MPROS0990,ERS513110,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737021/ERR737021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737021/ERR737021_2.fastq.gz,2015
NA,NA,ERR736975,SAMEA2665070,MPROS2395,NA,8,NA,0.38,16,NA,NA,224,MPROS2395,ERS513081,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR736/ERR736975/ERR736975_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR736/ERR736975/ERR736975_2.fastq.gz,2015
NA,NA,ERR736978,SAMEA2665076,MPROS2398,NA,8,NA,0.25,24,NA,NA,225,MPROS2398,ERS513087,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR736/ERR736978/ERR736978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR736/ERR736978/ERR736978_2.fastq.gz,2015
NA,NA,ERR715314,SAMEA2664805,MPROS2400,NA,8,NA,0.38,16,NA,NA,226,MPROS2400,ERS512816,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715314/ERR715314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715314/ERR715314_2.fastq.gz,2015
NA,NA,ERR737176,SAMEA2664158,MPROS1320,NA,8,NA,0.094,16,NA,NA,227,MPROS1320,ERS512169,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737176/ERR737176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737176/ERR737176_2.fastq.gz,2015
NA,NA,ERR715353,SAMEA2664899,MPROS2445,NA,8,NA,0.094,16,NA,NA,228,MPROS2445,ERS512910,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715353/ERR715353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715353/ERR715353_2.fastq.gz,2015
NA,NA,ERR715295,SAMEA2664884,MPROS2251,NA,8,NA,0.094,16,NA,NA,229,MPROS2251,ERS512895,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715295/ERR715295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715295/ERR715295_2.fastq.gz,2015
NA,NA,ERR212784,SAMEA1572526,MPROS0047,NA,8,NA,0.094,16,NA,NA,230,MPROS0047,ERS161342,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212784/ERR212784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212784/ERR212784_2.fastq.gz,2012-2013
NA,NA,ERR742877,SAMEA2664587,MPROS1864,NA,8,NA,0.094,24,NA,NA,231,MPROS1864,ERS512598,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/ERR742877/ERR742877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/ERR742877/ERR742877_2.fastq.gz,2015
NA,NA,ERR737644,SAMEA2664588,MPROS1865,NA,8,NA,0.094,16,NA,NA,232,MPROS1865,ERS512599,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737644/ERR737644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737644/ERR737644_2.fastq.gz,2015
NA,NA,ERR715403,SAMEA2664963,MPROS2286,NA,8,NA,0.094,16,NA,NA,233,MPROS2286,ERS512974,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715403/ERR715403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715403/ERR715403_2.fastq.gz,2015
NA,NA,ERR715264,SAMEA2664555,MPROS2080,NA,8,NA,0.125,24,NA,NA,234,MPROS2080,ERS512566,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715264/ERR715264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715264/ERR715264_2.fastq.gz,2015
NA,NA,ERR715191,SAMEA2664606,MPROS2081,NA,8,NA,0.064,16,NA,NA,235,MPROS2081,ERS512617,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715191/ERR715191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715191/ERR715191_2.fastq.gz,2015
NA,NA,ERR715260,SAMEA2664545,MPROS1910,NA,8,NA,0.094,24,NA,NA,236,MPROS1910,ERS512556,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715260/ERR715260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715260/ERR715260_2.fastq.gz,2015
NA,NA,ERR715192,SAMEA2664608,MPROS1914,NA,8,NA,0.125,16,NA,NA,237,MPROS1914,ERS512619,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715192/ERR715192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715192/ERR715192_2.fastq.gz,2015
NA,NA,ERR715193,SAMEA2664610,MPROS2088,NA,8,NA,0.064,16,NA,NA,238,MPROS2088,ERS512621,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715193/ERR715193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715193/ERR715193_2.fastq.gz,2015
NA,NA,ERR715227,SAMEA2664678,MPROS2089,NA,8,NA,0.094,16,NA,NA,239,MPROS2089,ERS512689,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715227/ERR715227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715227/ERR715227_2.fastq.gz,2015
NA,NA,ERR715262,SAMEA2664549,MPROS1925,NA,8,NA,0.094,16,NA,NA,240,MPROS1925,ERS512560,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715262/ERR715262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715262/ERR715262_2.fastq.gz,2015
NA,NA,ERR742912,SAMEA2664659,MPROS2103,NA,8,NA,0.094,24,NA,NA,241,MPROS2103,ERS512670,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/ERR742912/ERR742912_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/ERR742912/ERR742912_2.fastq.gz,2015
NA,NA,ERR702200,SAMEA2664839,MPROS2123,NA,8,NA,0.125,32,NA,NA,242,MPROS2123,ERS512850,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702200/ERR702200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702200/ERR702200_2.fastq.gz,2015
NA,NA,ERR715341,SAMEA2664875,MPROS2428,NA,8,NA,0.125,24,NA,NA,243,MPROS2428,ERS512886,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715341/ERR715341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715341/ERR715341_2.fastq.gz,2015
NA,NA,ERR737503,SAMEA2664348,MPROS1718,NA,8,NA,0.094,16,NA,NA,244,MPROS1718,ERS512359,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737503/ERR737503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737503/ERR737503_2.fastq.gz,2015
NA,NA,ERR702055,SAMEA2040717,MPROS736,NA,8,NA,0.25,24,NA,NA,245,MPROS0736,ERS197552,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702055/ERR702055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702055/ERR702055_2.fastq.gz,2015
NA,NA,ERR714960,SAMEA2041223,MPROS0824,NA,8,NA,0.016,0.064,NA,NA,246,MPROS0824,ERS197802,Penicillin Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714960/ERR714960_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714960/ERR714960_2.fastq.gz,2015
NA,NA,ERR715072,SAMEA2041963,MPROS1042,NA,8,NA,0.19,16,NA,NA,247,MPROS1042,ERS198025,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715072/ERR715072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715072/ERR715072_2.fastq.gz,2015
NA,NA,ERR701919,SAMEA2042818,MPROS686,NA,8,NA,0.094,24,NA,NA,248,MPROS0686,ERS197656,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701919/ERR701919_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701919/ERR701919_2.fastq.gz,2015
NA,NA,ERR702050,SAMEA1973156,MPROS738,NA,8,NA,0.125,16,NA,NA,249,MPROS0738,ERS197547,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702050/ERR702050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702050/ERR702050_2.fastq.gz,2015
NA,NA,ERR737105,SAMEA2664015,MPROS1378,NA,8,NA,0.094,12,NA,NA,250,MPROS1378,ERS512026,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737105/ERR737105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737105/ERR737105_2.fastq.gz,2015
NA,NA,ERR737324,SAMEA2664180,MPROS1615,NA,8,NA,0.064,16,NA,NA,251,MPROS1615,ERS512191,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737324/ERR737324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737324/ERR737324_2.fastq.gz,2015
NA,NA,ERR715384,SAMEA2664942,MPROS2492,NA,8,NA,0.125,24,NA,NA,252,MPROS2492,ERS512953,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715384/ERR715384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715384/ERR715384_2.fastq.gz,2015
NA,NA,ERR737537,SAMEA2664328,MPROS1531,NA,8,NA,0.19,24,NA,NA,253,MPROS1531,ERS512339,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737537/ERR737537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737537/ERR737537_2.fastq.gz,2015
NA,NA,ERR715099,SAMEA2664386,MPROS1772,NA,8,NA,0.125,24,NA,NA,254,MPROS1772,ERS512397,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715099/ERR715099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715099/ERR715099_2.fastq.gz,2015
NA,NA,ERR212793,SAMEA1572216,MPROS0056,NA,8,NA,0.094,24,NA,NA,255,MPROS0056,ERS161351,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212793/ERR212793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212793/ERR212793_2.fastq.gz,2012-2013
NA,NA,ERR702170,SAMEA2664777,MPROS2042,NA,8,NA,0.125,24,NA,NA,256,MPROS2042,ERS512788,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702170/ERR702170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702170/ERR702170_2.fastq.gz,2015
NA,NA,ERR702210,SAMEA2664800,MPROS2043,NA,8,NA,0.25,24,NA,NA,257,MPROS2043,ERS512811,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702210/ERR702210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702210/ERR702210_2.fastq.gz,2015
